회차,추첨일,조,1등,보너스,1번,2번,3번,4번,5번,6번
1,20200507,4,162132,278239,1,6,2,1,3,2
2,20200514,2,450558,154457,4,5,0,5,5,8
3,20200521,4,544955,059369,5,4,4,9,5,5
4,20200528,4,124420,221097,1,2,4,4,2,0
5,20200604,4,754655,190779,7,5,4,6,5,5
6,20200611,5,193202,206460,1,9,3,2,0,2
7,20200618,2,597093,482595,5,9,7,0,9,3
8,20200625,4,234058,548682,2,3,4,0,5,8
9,20200702,3,133510,213240,1,3,3,5,1,0
10,20200709,2,770173,064263,7,7,0,1,7,3
11,20200716,1,867654,485530,8,6,7,6,5,4
12,20200723,5,076676,611004,0,7,6,6,7,6
13,20200730,1,669245,880089,6,6,9,2,4,5
14,20200806,3,432496,451009,4,3,2,4,9,6
15,20200813,4,477238,146282,4,7,7,2,3,8
16,20200820,4,664056,657985,6,6,4,0,5,6
17,20200827,3,317227,031708,3,1,7,2,2,7
18,20200903,1,562222,881980,5,6,2,2,2,2
19,20200910,5,859219,411936,8,5,9,2,1,9
20,20200917,1,819605,555687,8,1,9,6,0,5
21,20200924,1,239937,552317,2,3,9,9,3,7
22,20201001,1,913622,362104,9,1,3,6,2,2
23,20201008,4,158071,726990,1,5,8,0,7,1
24,20201015,2,002989,967939,0,0,2,9,8,9
25,20201022,3,463637,386750,4,6,3,6,3,7
26,20201029,3,192856,561714,1,9,2,8,5,6
27,20201105,5,412008,967142,4,1,2,0,0,8
28,20201112,5,080839,378856,0,8,0,8,3,9
29,20201119,4,355192,126078,3,5,5,1,9,2
30,20201126,3,487215,157190,4,8,7,2,1,5
31,20201203,1,771598,997863,7,7,1,5,9,8
32,20201210,1,579176,349043,5,7,9,1,7,6
33,20201217,4,596219,641687,5,9,6,2,1,9
34,20201224,4,977686,832226,9,7,7,6,8,6
35,20201231,1,542454,116423,5,4,2,4,5,4
36,20210107,4,735757,252663,7,3,5,7,5,7
37,20210114,3,453877,466566,4,5,3,8,7,7
38,20210121,3,307836,162480,3,0,7,8,3,6
39,20210128,1,199137,320718,1,9,9,1,3,7
40,20210204,2,631086,585802,6,3,1,0,8,6
41,20210212,1,742714,698335,7,4,2,7,1,4
42,20210217,4,974231,892243,9,7,4,2,3,1
43,20210226,4,589839,890546,5,8,9,8,3,9
44,20210304,3,668818,799181,6,6,8,8,1,8
45,20210312,2,318754,494221,3,1,8,7,5,4
46,20210318,4,010963,710817,0,1,0,9,6,3
47,20210325,4,941327,524495,9,4,1,3,2,7
48,20210401,1,779363,788642,7,7,9,3,6,3
49,20210408,4,305248,191235,3,0,5,2,4,8
50,20210415,3,592111,176570,5,9,2,1,1,1
51,20210422,2,510012,088185,5,1,0,0,1,2
52,20210429,2,597227,297625,5,9,7,2,2,7
53,20210507,5,649638,580357,6,4,9,6,3,8
